timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
167.523542,-0.12792656,-2.5530727,9.434253,-0.024641205,0.0010289415,0.0024875654,0.009433299,11.331532,11.331532
167.553542,-0.12433977,-1.6934363,10.0547695,-0.044188894,-0.00019278936,0.0440264,3.3716583,13.119896,13.119896
167.590554,-0.002986364,-1.4632833,8.521412,0.019341093,-0.023405667,0.018370062,0.52514696,11.528831,11.528831
167.627566,0.11657363,-1.7024032,8.874114,0.023006286,0.062115464,0.029365636,0.52514696,11.528831,11.528831
167.664578,0.08967263,-2.4759564,9.596854,0.01201071,0.0022506719,0.011039679,1.957744,12.442595,12.442595
167.70159,-0.12314417,-2.81192,9.075573,0.0071237884,-0.023405667,0.037917748,0.34435865,11.302247,11.302247
167.738602,-0.28933257,-2.81192,9.174808,0.0315584,0.030350473,0.018370062,2.6800466,13.628078,13.628078
167.775614,-0.37123117,-3.8180175,9.9316225,0.023006286,-0.011188365,0.018370062,2.6800466,13.628078,13.628078
167.812626,-0.18949996,-3.3666785,8.734827,-0.016089093,0.019354898,0.025700444,0.7274995,12.318327,12.318327
167.849638,-0.019126963,-1.8721784,9.471316,0.0034585968,-0.0014145197,0.013483141,2.1677186,13.908633,13.908633
167.88665,-0.008366564,-3.2100549,8.749772,-0.00020659459,0.014467977,-0.001177626,-0.8422664,12.4552,12.4552
167.923662,-0.47883517,-1.9158179,10.049987,-0.01120217,-0.017297015,-0.015838392,-0.8422664,12.4552,12.4552
167.960674,-0.40949035,-3.5047703,9.33442,0.03766705,0.025463551,-0.03538608,3.0373912,13.882548,13.882548
167.997686,-0.46747696,-3.2554877,9.782172,0.0010151359,-0.027070861,0.04036121,-0.32720655,11.919132,11.919132
168.034699,-0.36585096,-3.1550572,9.513163,0.0022368664,-0.0014145197,0.03547429,0.94494283,13.878946,13.878946
168.071711,-0.73529136,-4.029041,10.044008,0.0010151359,0.016911438,-0.0121732,0.94494283,13.878946,13.878946
168.108723,-0.39574096,-2.4490554,8.767706,0.0022368664,-0.0014145197,0.03913948,1.5914174,11.639324,11.639324
168.145735,0.028697036,-2.8041487,9.331431,-0.023419473,0.0022506719,0.007374488,1.2731051,12.893952,12.893952
168.182747,0.087281436,-2.15434,8.881886,0.0022368664,0.021798361,-0.029277429,1.971326,12.75951,12.75951
168.219759,0.041848637,-2.7216523,9.480881,-0.009980438,0.009581055,-0.0121732,1.971326,12.75951,12.75951
168.256771,-0.41965297,-2.9266977,9.439035,0.013232441,-0.006301442,-0.023168776,-0.4614938,13.296228,13.296228
168.293783,-0.613938,-3.2734215,9.371484,-0.00020659459,-0.0075231725,-0.013394931,1.120131,14.0345955,14.0345955
